Size,Avg_Time,Std_Time,Min_Time,Max_Time
10,1.0333333333333333e-06,6.149478998583781e-07,0.0,2e-06
100,0.0002724333333333333,0.0014127081520924644,7e-06,0.007752
1000,0.00044419999999999996,0.0014286335019026472,0.000132,0.008006
10000,0.0027928,0.0003438206629565216,0.002322,0.00357
100000,0.036050033333333335,0.0023320895097764145,0.032323,0.041446
1000000,0.6584107333333333,0.0206980928822179,0.623906,0.696205
