Type,mean,std,min,max
Random,10.244608365712585,53.07083169049475,-36.12550010528532,100.0
Reverse,11.261248993996398,53.71552345924986,-54.503416739454345,100.0
Sorted,20.469062123532275,60.02156652221379,-58.562098173282976,100.0
